address,property_type,parking_spaces,land_size,building_size,num_bedrooms,num_bathrooms,price
"El Porvenir, Tijuana, Baja California, Tijuana, Baja California 22766",Unit,6,,,5,4,"USD $219,000"
"Privada del Rosal 11241, Urbi Quinta Del Cedro, Tijuana, Baja California, Tijuana, Baja California 22104",House,3,,,3,2,"USD $123,706"
"Consulado 934, Hipodromo, 22420 Tijuana, B.C., Mexico, Tijuana, Baja California",Apartment,,,"2,228.13 sq ft",3,3,"USD $350,000"
"Residencial Montebello 0, Terrazas de La Presa, Tijuana, Baja California, Tijuana, Baja California 22124",House,1,,,2,4,"USD $94,795"
"Av. Agustín Pérez Rivero, 22525 B.C. 1, La Jolla, Tijuana, Baja California, Tijuana, Baja California 22525",Land,,"2,152.78 sq ft",,,,"USD $20,000"
"La Paz 8704, Colinas de California, Tijuana, Baja California, Tijuana, Baja California 22647",House,2,,,3,3,"USD $255,707"
"Mezcala SN, Playa Blanca, Tijuana, Baja California, Tijuana, Baja California 22560",Other,,"132,895.98 sq ft",,,,"USD $35,700,000"
"Carretera Libre, Tijuana - Tecate Km 10, El Refugio SN, Quintas Campestre El Refugio, Tijuana, Baja California, Tijuana, Baja California 22255",Land,,"215,278.21 sq ft",,,,"USD $3,000,000"
"Blvd Las Delicias Sur sn, Hacienda Las Delicias, Tijuana, Baja California, Tijuana, Baja California 22163",Land/Development,,"671,662.75 sq ft",,,,"USD $3,993,569"
"Av Insurgentes S/N, Bustamante, Tijuana, Baja California, Tijuana, Baja California 22840",Other,6,"5,454.29 sq ft",,,,"USD $266,817"
"Tomas Aquino 0, Tomas Aquino, Tijuana, Baja California, Tijuana, Baja California 22414",Unit,2,,,2,2,"USD $206,088"
"Tomas Aquino 0, Tomas Aquino, Tijuana, Baja California, Tijuana, Baja California 22414",Unit,2,,,1,1,"USD $209,855"
"Tomas Aquino 0, Tomas Aquino, Tijuana, Baja California, Tijuana, Baja California 22414",Unit,1,,,1,1,"USD $168,389"
"Residencial San Marino 1ra. Secc 0, Residencial San Marino, Tijuana, Baja California, Tijuana, Baja California 22567",House,2,,,3,3,"USD $179,878"
"Residencial San Marino 1ra. Secc 0, Residencial San Marino, Tijuana, Baja California, Tijuana, Baja California 22567",House,2,,,3,3,"USD $202,368"
"Residencial San Marino 1ra. Secc 0, Residencial San Marino, Tijuana, Baja California, Tijuana, Baja California 22567",House,2,,,3,3,"USD $205,505"
"Punta del mar 3A, Punta Del Mar, 22710 Tijuana, B.C., Mexico, Tijuana, Baja California",House,,,"2,690.98 sq ft",5,4,"USD $615,000"
"Av. Muria Martínez 4309, Fernández, Tijuana, Baja California, Tijuana, Baja California 22464",House,2,,,3,3,"USD $154,996"
"COSMOPOLITAN CITY CENTER 0, Zona Urbana Río Tijuana, Tijuana, Baja California, Tijuana, Baja California 22010",Unit,2,,,2,2,"USD $375,250"
"Blvd. Costa del sol 392, Real del Mar, Tijuana, Baja California, Tijuana, Baja California 22565",Land,,"5,618.76 sq ft",,,,"USD $93,960"
"leona vicario 1819, Zona Urbana Río Tijuana, Tijuana, Baja California, Tijuana, Baja California 22010",Unit,1,,,1,1,"USD $230,250"
"leona vicario 1819, Zona Urbana Río Tijuana, Tijuana, Baja California, Tijuana, Baja California 22010",Unit,1,,,1,1,"USD $259,900"
"CIMALTA Mizar 156, López Leyva, Tijuana, Baja California, Tijuana, Baja California 22416",Unit,1,,,2,2,"USD $252,069"
"Kantunil 12228_A, Azteca, Tijuana, Baja California, Tijuana, Baja California 22224",House,2,,,3,3,"USD $174,644"
"Mizar 156, López Leyva, Tijuana, Baja California, Tijuana, Baja California 22416",House,2,,,3,3,"USD $291,073"
"CIMALTA Mizar 156, López Leyva, Tijuana, Baja California, Tijuana, Baja California 22416",Unit,1,,,2,2,"USD $225,678"
"CIMALTA Mizar 156, López Leyva, Tijuana, Baja California, Tijuana, Baja California 22416",Unit,1,,,2,2,"USD $203,411"
"Josefa ortiz de Dominguez 1349, Zona Urbana Río Tijuana, Tijuana, Baja California, Tijuana, Baja California 22010",Other,,322.92 sq ft,,,,"USD $47,000"
"Privada Mediterráneo Residencial Ciprés 5510- 27, Loma Bonita Norte, Tijuana, Baja California, Tijuana, Baja California 22604",House,2,,699.65 sq ft,2,,"USD $116,429""Fray Junipero Serra 22050, Soler, Tijuana, Baja California, Tijuana, Baja California 22530",House,2,,,2,3,"USD $210,109"
"Paseo del Rio 356, Zona Urbana Río Tijuana, Tijuana, Baja California, Tijuana, Baja California 22010",Unit,1,,,1,1,"USD $256,750"
"Paseo del Rio 356, Zona Urbana Río Tijuana, Tijuana, Baja California, Tijuana, Baja California 22010",Unit,2,,,2,2,"USD $277,250"
"Paseo del Rio 356, Zona Urbana Río Tijuana, Tijuana, Baja California, Tijuana, Baja California 22010",Unit,2,,,2,2,"USD $349,750"
"Paseo del Rio 356, Zona Urbana Río Tijuana, Tijuana, Baja California, Tijuana, Baja California 22010",Unit,2,,,2,2,"USD $277,500"
"Puesta del Sol 740 _ 19, Playas de Tijuana Sección Costa, Tijuana, Baja California, Tijuana, Baja California 22504",House,2,,,2,3,"USD $285,000"
"Av. Revolución 1792, Zona Centro, Tijuana, Baja California, Tijuana, Baja California 22000",Unit,2,,,2,2,"USD $413,208"
"Av. Revolución 1792, Zona Centro, Tijuana, Baja California, Tijuana, Baja California 22000",Unit,1,,,1,1,"USD $236,708"
"Av. Revolución 1792, Zona Centro, Tijuana, Baja California, Tijuana, Baja California 22000",Unit,1,,,1,1,"USD $250,708"
"Av. Revolución 1792, Zona Centro, Tijuana, Baja California, Tijuana, Baja California 22000",Unit,1,,,2,2,"USD $306,708"
"Av. Revolución 1792, Zona Centro, Tijuana, Baja California, Tijuana, Baja California 22000",Unit,1,,,1,1,"USD $179,708"
"Av. Revolución 1792, Zona Centro, Tijuana, Baja California, Tijuana, Baja California 22000",Unit,1,,,1,1,"USD $186,708"
"Av. Revolución 1792, Zona Centro, Tijuana, Baja California, Tijuana, Baja California 22000",Unit,1,,,2,2,"USD $234,708"
"Hipódromo 0, Hipódromo, Tijuana, Baja California, Tijuana, Baja California 22020",Land,,"6,856.61 sq ft",,,,"USD $848,962"
"TAMAULIPAS 9389, Madero Sur, Tijuana, Baja California, Tijuana, Baja California 22046",Unit,,,"2,034.38 sq ft",2,3,"USD $780,423"
"Lomas Virreyes 0, Lomas Virreyes, Tijuana, Baja California, Tijuana, Baja California 22244",House,2,,,4,4,"USD $135,834"
"Paseo del Río 356, Río Tijuana 3a Etapa, Tijuana, Baja California, Tijuana, Baja California 22226",Offices,,"1,937.50 sq ft",,,,"USD $433,500"
"La casa grande 22635, Lomas del Río, Tijuana, Baja California, Tijuana, Baja California 22635",House,2,,,3,2,"USD $179,495"
"MARCELINO HERNANDEZ 1815, Lázaro Cárdenas, Tijuana, Baja California, Tijuana, Baja California 22510",Land/Development,,"3,699.45 sq ft",,,,"USD $135,834"
"Hermenegildo Galeana 23446, El Dorado Residencial, Tijuana, Baja California, Tijuana, Baja California 23446",House,parkingSpaces,,,4,2,"USD $92,173"
"Calle Priv. Manuel Doblado, Tijuana, Baja California 22044",Apartment,,,"1,291.67 sq ft",,3,"USD $399,000"
"Blvd. Delicias Sur 15821, Natura, Tijuana, Baja California, Tijuana, Baja California 22457",House,parkingSpaces,,,1,1,"USD $55,789"
"Paseo Playas de Tijuana, Tijuana, Baja California",House,,,"2,690.98 sq ft",3,3,"USD $350,000"
"Blvd. Cuauhtemoc Sur 3511, Madero Sur, Tijuana, Baja California, Tijuana, Baja California 22046",Unit,2,,,3,2,"USD $376,470"
"Blvd. Cuauhtemoc Sur 3511, Madero Sur, Tijuana, Baja California, Tijuana, Baja California 22046",Unit,2,,,3,2,"USD $343,593"
"Amiltepec 15161, Azteca, Tijuana, Baja California, Tijuana, Baja California 22224",House,2,,,3,3,"USD $174,644"
"De La Rivera 4301, Soler, Tijuana, Baja California, Tijuana, Baja California 22530",House,2,,,3,3,"USD $339,585"
"Huajicori 0, Azteca, Tijuana, Baja California, Tijuana, Baja California 22224",House,2,,,3,3,"USD $174,644"
"Kantunil 0, Azteca, Tijuana, Baja California, Tijuana, Baja California 22224",House,2,,,3,3,"USD $174,644"
"Hermenegildo Galeana 23446, El Dorado Residencial, Tijuana, Baja California, Tijuana, Baja California 23446",House,1,,,4,2,"USD $92,173"
"Armeria 23508D, Villa Fontana XVI, Tijuana, Baja California, Tijuana, Baja California 22205",House,5,,,4,4,"USD $363,841"
"Blvd. Delicias Sur 15821, Natura, Tijuana, Baja California, Tijuana, Baja California 22457",House,1,,,1,1,"USD $55,789"
"Nochitlan 13117, Tomas Aquino, Tijuana, Baja California, Tijuana, Baja California 22414",Unit,1,,,1,1,"USD $85,000"
"Nochitlan 13117, Tomas Aquino, Tijuana, Baja California, Tijuana, Baja California 22414",Unit,1,,,1,1,"USD $155,000"
"Grand bosatt C. Nochitlan 13117, Tomas Aquino, Tijuana, Baja California, Tijuana, Baja California 22414",Unit,2,,,2,2,"USD $220,000"
"USD $399,000",Apartment,,,"1,291.67 sq ft",,3,"USD $399,000"
"Blvd. Cuauhtemoc Sur 3511, Madero Sur, Tijuana, Baja California, Tijuana, Baja California 22046",Unit,2,,,2,2,"USD $356,529"
